BJD - 2454833, Corrected Flux
2310.615191506, 0.999577718,
2310.635623579, 0.999568386,
2310.656055552, 0.999683648,
2310.676487525, 0.999680409,
2310.696919497, 0.999657471,
2310.737783441, 0.999507305,
2310.758215512, 0.999499201,
2310.778647382, 0.999543286,
2310.799079353, 0.999634273,
2310.819511422, 0.999654625,
2310.839943292, 0.999616009,
2310.860375361, 0.999616666,
2310.880807330, 0.999676675,
2310.901239198, 0.999676983,
2310.921671266, 0.999688830,
2310.942103234, 0.999697014,
2310.962535101, 0.999657305,
2310.982967167, 0.999615760,
2311.003399134, 0.999623464,
2311.023831000, 0.999647164,
2311.044263066, 0.999657102,
2311.064695031, 0.999607195,
2311.085126896, 0.999538576,
2311.105558961, 0.999679170,
2311.125990925, 0.999670691,
2311.146422788, 0.999590085,
2311.166854852, 0.999569283,
2311.187286815, 0.999694318,
2311.228150739, 0.999485133,
2311.248582701, 0.999488916,
2311.269014563, 0.999596041,
2311.289446624, 0.999674940,
2311.309878585, 0.999610706,
2311.330310445, 0.999600910,
2311.350742505, 0.999634331,
2311.371174465, 0.999604904,
2311.391606524, 0.999712607,
2311.412038383, 0.999720176,
2311.432470341, 0.999665091,
2311.452902399, 0.999606924,
2311.473334256, 0.999639081,
2311.493766214, 0.999608712,
2311.514198271, 0.999618338,
2311.534630127, 0.999682950,
2311.555062084, 0.999640372,
2311.575494139, 0.999637023,
2311.595926095, 0.999679788,
2311.616357949, 0.999595417,
2311.636790004, 0.999706449,
2311.657221959, 0.999723143,
2311.677653812, 0.999620457,
2311.718517819, 0.999599321,
2311.738949672, 0.999690892,
2311.759381724, 0.999737385,
2311.779813676, 0.999659210,
2311.800245527, 0.999609525,
2311.820677579, 0.999691568,
2311.841109530, 0.999655984,
2311.861541480, 0.999594865,
2311.881973430, 0.999649966,
2311.902405280, 0.999640306,
2311.922837329, 0.999652765,
2311.943269279, 0.999643592,
2311.963701127, 0.999570806,
2311.984133175, 0.999600762,
2312.004565123, 0.999681440,
2312.024997071, 0.999637271,
2312.045429018, 0.999545755,
2312.065860965, 0.999670391,
2312.086292911, 0.999781197,
2312.106724857, 0.999779883,
2312.127156803, 0.999759014,
2312.147588748, 0.999644283,
2312.168020793, 0.999523579,
2312.208884582, 0.999583797,
2312.229316625, 0.999597129,
2312.249748469, 0.999579919,
2312.270180412, 0.999691263,
2312.290612454, 0.999621072,
2312.311044297, 0.999668580,
2312.331476238, 0.999665556,
2312.351908280, 0.999635504,
2312.372340121, 0.999728002,
2312.392772162, 0.999636081,
2312.413204103, 0.999741131,
2312.454067982, 0.999695151,
2312.474499922, 0.999652763,
2312.494931861, 0.999661458,
2312.515363799, 0.999673919,
2312.535795737, 0.999643230,
2312.556227675, 0.999730283,
2312.576659613, 0.999642702,
2312.597091550, 0.999587437,
2312.617523387, 0.999589004,
2312.637955423, 0.999734426,
2312.658387359, 0.999705142,
2312.678819195, 0.999676694,
2312.699251230, 0.999714809,
2312.719683165, 0.999681509,
2312.740115000, 0.999688143,
2312.760547034, 0.999737899,
2312.780978968, 0.999676340,
2312.801410801, 0.999678979,
2312.821842834, 0.999636350,
2312.842274767, 0.999684235,
2312.862706699, 0.999567558,
2312.883138631, 0.999642740,
2312.903570563, 0.999666408,
2312.924002594, 0.999628575,
2312.944434425, 0.999681391,
2312.964866356, 0.999683003,
2312.985298386, 0.999767026,
2313.005730316, 0.999673973,
2313.026162145, 0.999755981,
2313.046594174, 0.999746048,
2313.067026103, 0.999773346,
2313.087457931, 0.999694925,
2313.107889959, 0.999646632,
2313.128321887, 0.999684835,
2313.148753714, 0.999703710,
2313.189617668, 0.999688454,
2313.210049494, 0.999616076,
2313.230481520, 0.999588586,
2313.250913445, 0.999648930,
2313.271345370, 0.999684737,
2313.291777295, 0.999722061,
2313.312209219, 0.999596730,
2313.332641144, 0.999613437,
2313.353073067, 0.999676923,
2313.373504991, 0.999697225,
2313.393936813, 0.999644551,
2313.434800758, 0.999672127,
2313.455232680, 0.999654191,
2313.475664602, 0.999658531,
2313.496096523, 0.999633404,
2313.516528544, 0.999652451,
2313.536960364, 0.999659428,
